iter	Passed	Remaining
0	4	4005
1	4	2317
2	6	2002
3	6	1692
4	7	1484
5	8	1359
6	8	1265
7	9	1195
8	10	1144
9	11	1093
10	11	1050
11	12	1065
12	13	1039
13	14	1007
14	14	980
15	15	954
16	16	935
17	16	916
18	17	896
19	17	881
20	18	867
21	19	859
22	19	847
23	20	837
24	21	826
25	21	815
26	22	809
27	23	799
28	23	796
29	24	796
30	25	810
31	27	824
32	27	816
33	28	808
34	29	800
35	29	794
36	30	788
37	30	782
38	31	785
39	32	780
40	33	778
41	34	775
42	34	775
43	35	770
44	36	766
45	36	761
46	37	755
47	37	752
48	38	750
49	39	747
50	40	746
51	40	745
52	41	740
53	42	736
54	42	732
55	43	728
56	43	725
57	44	721
58	44	717
59	45	713
60	46	709
61	46	707
62	47	706
63	48	705
64	48	703
65	49	701
66	50	709
67	51	706
68	52	703
69	52	703
70	53	701
71	54	705
72	55	705
73	56	704
74	57	703
75	58	709
76	59	710
77	60	711
78	60	709
79	61	707
80	62	706
81	62	705
82	63	699
83	64	700
84	65	701
85	65	700
86	66	700
87	67	701
88	68	699
89	68	697
90	69	695
91	70	693
92	70	691
93	71	688
94	72	685
95	72	683
96	73	681
97	73	679
98	74	677
99	74	674
100	75	672
101	76	670
102	76	668
103	77	666
104	78	665
105	78	664
106	79	662
107	80	661
108	80	658
109	81	656
110	81	654
111	82	654
112	83	652
113	83	650
114	84	648
115	84	646
116	85	644
117	85	642
118	86	640
119	87	639
120	87	637
121	88	634
122	88	633
123	89	631
124	89	629
125	90	628
126	91	625
127	91	624
128	92	624
129	93	623
130	94	626
131	95	624
132	95	623
133	96	621
134	96	619
135	97	618
136	97	617
137	98	615
138	99	614
139	99	613
140	100	611
141	100	608
142	101	607
143	102	606
144	102	604
145	103	603
146	103	602
147	104	600
148	104	599
149	105	597
150	106	596
151	106	595
152	107	594
153	108	593
154	108	592
155	109	591
156	109	590
157	110	588
158	111	587
159	111	587
160	112	584
161	112	584
162	113	582
163	114	581
164	114	580
165	115	579
166	115	578
167	116	577
168	117	575
169	117	574
170	118	573
171	118	572
172	119	571
173	120	570
174	120	569
175	121	568
176	122	567
177	122	566
178	123	565
179	123	564
180	124	563
181	125	562
182	125	560
183	126	560
184	126	559
185	127	558
186	128	557
187	128	556
188	129	554
189	129	553
190	130	552
191	131	551
192	131	550
193	132	549
194	132	548
195	133	547
196	134	546
197	134	544
198	135	543
199	135	542
200	136	542
201	137	541
202	137	540
203	138	539
204	138	538
205	139	537
206	139	536
207	140	535
208	141	534
209	141	533
210	142	533
211	143	532
212	144	532
213	144	531
214	145	530
215	146	530
216	146	529
217	147	528
218	147	527
219	148	525
220	148	524
221	149	523
222	149	522
223	150	521
224	151	520
225	151	519
226	152	518
227	152	517
228	153	516
229	153	514
230	154	513
231	154	512
232	155	511
233	155	509
234	156	508
235	156	507
236	157	506
237	157	504
238	158	503
239	158	502
240	159	500
241	159	499
242	159	498
243	160	496
244	160	495
245	161	494
246	161	493
247	162	492
248	162	490
249	163	489
250	163	488
251	164	487
252	164	486
253	165	484
254	165	484
255	166	483
256	167	484
257	167	483
258	168	481
259	168	480
260	169	480
261	170	479
262	170	478
263	171	477
264	171	476
265	172	474
266	172	473
267	172	472
268	173	471
269	173	470
270	174	468
271	174	467
272	175	466
273	175	465
274	176	464
275	176	463
276	177	462
277	177	461
278	177	459
279	178	458
280	178	457
281	179	456
282	180	456
283	180	455
284	181	454
285	181	453
286	181	452
287	182	451
288	182	449
289	184	450
290	185	451
291	186	451
292	186	450
293	187	449
294	187	448
295	187	447
296	188	445
297	188	444
298	189	443
299	189	442
300	190	441
301	190	440
302	191	439
303	191	438
304	191	437
305	192	436
306	192	435
307	193	434
308	193	433
309	194	432
310	194	431
311	195	430
312	195	429
313	196	428
314	196	427
315	197	426
316	197	425
317	198	424
318	198	423
319	199	422
320	199	422
321	200	421
322	200	421
323	201	420
324	201	419
325	202	418
326	202	417
327	203	416
328	203	415
329	204	414
330	204	413
331	205	412
332	205	411
333	205	410
334	206	409
335	206	408
336	207	407
337	207	407
338	208	406
339	208	405
340	209	404
341	209	403
342	210	402
343	210	402
344	211	401
345	211	400
346	212	399
347	212	398
348	213	397
349	213	397
350	214	396
351	214	395
352	215	394
353	215	393
354	216	392
